source,target,weight
M0001,M0015,0.9876454076503025
M0001,M0044,0.9871174917264862
M0001,M0027,0.9797851830771961
M0001,M0051,0.9761486068518224
M0001,M0028,0.9697568385766341
M0001,M0030,0.9438043939690567
M0001,M0065,0.9259999976806005
M0001,M0035,0.9223051696712302
M0002,M0059,0.9016120210421026
M0002,M0043,0.8496471913010006
M0002,M0062,0.8102668186765445
M0002,M0026,0.8056180097934175
M0002,M0038,0.7759748435071502
M0002,M0025,0.7729523995933197
M0002,M0010,0.76344436363908
M0002,M0033,0.7163326369041573
M0003,M0066,0.9958189769624254
M0003,M0035,0.9931104634967675
M0003,M0060,0.982199615083835
M0003,M0012,0.9749590237291262
M0003,M0030,0.9620350564934492
M0003,M0028,0.9433309877570105
M0003,M0015,0.9425595597004849
M0003,M0027,0.9235967356453987
M0004,M0019,0.9984404599950727
M0004,M0011,0.9979706385443502
M0004,M0041,0.9839214289530951
M0004,M0047,0.9721375431086047
M0004,M0052,0.928320462019699
M0004,M0042,0.9183584100966986
M0004,M0029,0.8967892824461833
M0004,M0036,0.8186638337067726
M0005,M0053,0.9098219799018803
M0005,M0061,0.8743231624839796
M0005,M0006,0.7612656040369314
M0005,M0018,0.6848213541543424
M0005,M0016,0.6092197979528723
M0005,M0010,0.5868204496759148
M0005,M0038,0.5744879932128469
M0005,M0034,0.5363544171813657
M0006,M0016,0.9140867461085895
M0006,M0034,0.9129859963019035
M0006,M0053,0.9113910035271371
M0006,M0039,0.9095782901355006
M0006,M0056,0.8118432033814144
M0006,M0018,0.8038226685892855
M0006,M0055,0.7637347060626271
M0006,M0005,0.7612656040369314
M0007,M0013,0.9970014639989648
M0007,M0046,0.992951590540668
M0007,M0050,0.9853849061185472
M0007,M0017,0.9776365310690396
M0007,M0024,0.9269840182219442
M0007,M0048,0.9233628409707912
M0007,M0045,0.9099689330729156
M0007,M0064,0.9090595278254865
M0008,M0067,0.9905644091459449
M0008,M0024,0.9691330666570065
M0008,M0056,0.9472104048227662
M0008,M0020,0.9434803885078179
M0008,M0045,0.9289557361240601
M0008,M0022,0.9274939563708742
