molecule_id,x,y,activity,mol_weight,logP,tpsa,hbd,hba,cluster,region
M0001,-2.3324056061350626,-1.701627477835857,5.645043301646599,330.8334887090029,2.317389524386769,100.67173174681338,1,7,2,normal
M0002,-3.0719912584322726,-1.6233079677019144,5.153661657988848,315.17045663919896,-0.4181326677671242,62.40052340821614,2,9,2,normal
M0003,-2.0872518423064483,-1.5056987573008862,4.753783801744042,337.0729337355396,4.074781746812855,114.49566495578027,0,2,2,normal
M0004,-1.9826894059848323,-0.7265615907704297,5.593699011820343,291.9692223025241,2.7005370744638544,119.85440903383832,3,7,2,normal
M0005,-3.5730693537596103,-0.9216658451611891,5.215470616641386,486.064878628518,2.2541864138132297,118.54769439174146,3,9,2,normal
M0006,-3.216198728774275,-0.6202330552627274,5.35462495893711,326.4766719775308,-0.008132059796253088,69.99991976478562,0,7,2,normal
M0007,-2.429687778257993,-1.234988955485094,5.285766120329067,401.6021364918838,0.5195328464011841,58.58548186890794,1,2,2,normal
M0008,-2.67393342578897,-0.9128031699078072,5.450723189754265,463.833094788171,-0.0381278501064517,109.85849356004658,3,8,2,normal
M0009,-2.509240636627359,-0.6559252833179647,5.873093080775675,461.6325095314427,4.111598946768792,116.16673206112677,3,1,2,normal
M0010,-2.969174160165469,-1.1701405968461311,5.55496699860587,368.3642898177321,2.5053671603673093,78.95089356696394,0,6,2,normal
M0011,-2.0163311138254443,-0.7487736193434237,5.444477807036459,378.5894733184159,3.4107765651178,127.16372234435636,0,5,2,normal
M0012,-2.0722144355140784,-1.3640592675866583,5.137521186510966,518.5694722124567,0.7761971774601544,37.269043529426995,2,5,2,normal
M0013,-2.4636831163413313,-1.1996796156107896,4.913860969353475,432.1413187843365,1.227515822529663,125.48825355907522,2,5,2,normal
M0014,-1.8800173361675818,-1.209955841699081,5.329792231824334,469.9523796418283,1.4291297865592028,31.531427956625752,4,1,2,normal
M0015,-2.242869861761375,-1.6577118050739719,5.481176107213588,493.68957168919263,3.560089830464209,38.42306264655367,2,5,2,normal
M0016,-2.9726108545857812,-0.73216513556793,6.118775469752959,462.6492557819216,3.6341179260474084,84.06080159287524,4,9,2,normal
M0017,-2.2971870687546256,-1.258171287111498,5.54559608251551,299.99842313746325,0.24088116508419022,28.102217622489803,1,4,2,normal
